,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
31,BBC,Fri Jan 05 09:00:04 +0000 2018,Trying to stop suicides in Aokigahara forest in Japan. https://t.co/vMts4cvDWh https://t.co/WthsIMR0OY,-0.296,0.0,0.18,0.82,69
32,BBC,Fri Jan 05 08:51:15 +0000 2018,RT @BBCWorld: A celebration of black female photography https://t.co/D0GOq2Ekh3,0.0,0.0,0.0,1.0,68
33,BBC,Fri Jan 05 08:50:54 +0000 2018,RT @BBCNews: First openly transgender woman in British Vogue https://t.co/mFt1oG38ok,0.0,0.0,0.0,1.0,67
34,BBC,Fri Jan 05 08:47:27 +0000 2018,RT @BBCScotlandNews: Meet the electric skateboarders who can cut through traffic at 25mph. Another step closer to Marty McFly’s hoverboard……,-0.2732,0.0,0.1,0.9,66
35,BBC,Fri Jan 05 08:40:01 +0000 2018,RT @BBCNewsbeat: Jack has just touched down in the UK after being rescued from a dog meat farm in South Korea. 2.5 million dogs are killed…,0.4215,0.104,0.0,0.896,65
36,BBC,Fri Jan 05 08:40:01 +0000 2018,How to be a guide runner! ?? https://t.co/deQo8TwhkX,0.0,0.0,0.0,1.0,64
37,BBC,Fri Jan 05 08:21:04 +0000 2018,"'I wound down the window to stroke a lion'. ?
Zoo attacks and the people who survive them. ? https://t.co/2zDKPHayDx https://t.co/i5kBJt8EQw",-0.4404,0.0,0.146,0.854,63
38,BBC,Fri Jan 05 08:00:04 +0000 2018,"What’s life like as a blind, single mum? 
#EverydayHeroes https://t.co/KRAit5faWa",-0.0516,0.205,0.221,0.574,62
39,BBC,Fri Jan 05 07:38:04 +0000 2018,??10 books you need to read in 2018. https://t.co/9tTXN1VmjH https://t.co/OeJTjazpPj,0.0,0.0,0.0,1.0,61
40,BBC,Thu Jan 04 20:02:04 +0000 2018,DI Mooney and his team are tested when a billionaire's fiancee falls from a balcony the day before her wedding.… https://t.co/20rEZ2skBZ,0.0,0.0,0.0,1.0,60
41,BBC,Thu Jan 04 19:36:55 +0000 2018,RT @BBCFood: Determined to eat more veggies this year? Here's a good place to start #5aday #vegfest #easy https://t.co/wbhnwXcig1 https://t…,0.6486,0.238,0.0,0.762,59
42,BBC,Thu Jan 04 19:36:51 +0000 2018,"RT @BBCRadio2: Episode 1 of @NileRodgers' Good Times is available now on our website! ?? ?

Join Nile and music aficionado Vicki Wickham as…",0.6588,0.212,0.0,0.788,58
43,BBC,Thu Jan 04 19:36:43 +0000 2018,"RT @BBCOne: ??? 

#DeathInParadise https://t.co/veaTuKtdbW",0.0,0.0,0.0,1.0,57
44,BBC,Thu Jan 04 19:36:33 +0000 2018,"RT @BBCWorld: The moment a moose, which got stuck up to its neck in snow, is set loose by rescuers in Canada https://t.co/5QcJYdxjog",-0.5106,0.0,0.177,0.823,56
45,BBC,Thu Jan 04 19:36:13 +0000 2018,"RT @bbcthree: This Londoner saved £2,500 by not using public transport for an entire year. https://t.co/dHCydGSXsc",0.4215,0.157,0.0,0.843,55
46,BBC,Thu Jan 04 19:00:09 +0000 2018,"When a drugs bust goes wrong on the open ocean...it can go very, very wrong. ? ? 

#ScotSquad https://t.co/2EIkCTunch",-0.7351,0.0,0.307,0.693,54
47,BBC,Thu Jan 04 18:33:03 +0000 2018,The story of female factory workers at the Ford Dagenham plant who fought for equal pay in 1968. ? ?… https://t.co/093IdArQwQ,-0.4019,0.0,0.171,0.829,53
48,BBC,Thu Jan 04 18:03:06 +0000 2018,"Tonight, the @HairyBikers seek out the authentic flavours of Italy. ?? https://t.co/0WTbS2l5Ab

Hairy Bikers' Medit… https://t.co/4AhGUfLCpm",0.0,0.0,0.0,1.0,52
49,BBC,Thu Jan 04 17:00:03 +0000 2018,"'He's better than some adult conductors I've worked with!'

Matthew isn't your average 11-year-old. ?… https://t.co/jjlnXE1hWr",0.4926,0.175,0.0,0.825,51
50,BBC,Thu Jan 04 16:50:21 +0000 2018,RT @bbccomedy: HOW do you keep a straight face while filming 'SMELL MY CHEESE!'? ? @davidschneider #AlanPartridge https://t.co/hDrcEIP4b2,0.2942,0.128,0.0,0.872,50
51,BBC,Thu Jan 04 16:30:07 +0000 2018,"The 11,500-year-old remains of an infant girl from Alaska have shed new light on the peopling of the Americas.… https://t.co/51c3x2Vaic",0.0,0.0,0.0,1.0,49
52,BBC,Thu Jan 04 15:30:07 +0000 2018,"? @RoyalMintUK has produced new coins to mark 2018's biggest anniversaries, including WW1's end &amp; Frankenstein's fi… https://t.co/Nsmg7Cieip",0.0,0.0,0.0,1.0,48
53,BBC,Thu Jan 04 15:03:03 +0000 2018,Iceland has become the first country to enforce equal pay for women and men. ? ?? https://t.co/Agn2tCJqH5 https://t.co/DADnlY4CBX,-0.1027,0.0,0.08,0.92,47
54,BBC,Thu Jan 04 14:30:03 +0000 2018,"The sauce for @Rick_Stein's coconut prawns is a little on the hot side... but so it should be. ??

Full recipe here… https://t.co/1OqvNHn2Wc",0.0,0.0,0.0,1.0,46
55,BBC,Thu Jan 04 14:00:11 +0000 2018,?? 2018 has much to offer at the cinema. Here are 10 must-see flicks to catch this year. ? https://t.co/YsbLytjDdV https://t.co/F2dxX0pwiG,0.0,0.0,0.0,1.0,45
56,BBC,Thu Jan 04 13:57:38 +0000 2018,RT @bbcthree: Meet the young mum and her Insta-famous daughter with celebral palsy. https://t.co/YLc9GGoXJZ,0.0,0.0,0.0,1.0,44
57,BBC,Thu Jan 04 13:33:04 +0000 2018,Time to bust a myth. Not all mammals are warm-blooded. ? https://t.co/rv9SD6WpDe https://t.co/4YXfK6ObXd,0.0,0.0,0.0,1.0,43
58,BBC,Thu Jan 04 13:03:04 +0000 2018,"From a rocket-powered car to the commercial space race, these are the science stories to look forward to this year.… https://t.co/ocfOzY74yp",0.0,0.0,0.0,1.0,42
59,BBC,Thu Jan 04 12:30:03 +0000 2018,"Gary Oldman does Winston Churchill doing James Brown.
For the Oscar... ?

#TheGNShow https://t.co/427M4e5JYb",0.0,0.0,0.0,1.0,41
60,BBC,Thu Jan 04 12:03:03 +0000 2018,Planning on living forever? Here are seven things you need to know about immortality. ? https://t.co/7g2SCTvk2K https://t.co/IyTy8Oodav,0.0,0.0,0.0,1.0,40
61,BBC,Thu Jan 04 11:33:08 +0000 2018,Andy Murray has pulled out of the Australian Open after failing to recover from an ongoing hip injury.… https://t.co/cCMoS2h31A,-0.5106,0.0,0.155,0.845,39
62,BBC,Thu Jan 04 11:28:58 +0000 2018,RT @bbcsoutheast: This dramatic video was taken at Birling Gap yesterday and appears to show a portion of the cliff collapsing. Credit: @na…,0.1027,0.105,0.089,0.806,38
63,BBC,Thu Jan 04 11:23:31 +0000 2018,"What secrets and stories does the house you live in hold?

@DavidOlusoga investigates the history of one house, fro… https://t.co/KZQeG4WBuS",0.0,0.0,0.0,1.0,37
64,BBC,Thu Jan 04 10:30:01 +0000 2018,RT @BBCNewsround: Do you sound different in space? ??? We asked @astro_timpeake to help answer this week's Big Question! https://t.co/bkzPQ…,0.4574,0.136,0.0,0.864,36
65,BBC,Thu Jan 04 10:20:28 +0000 2018,Oscar-winning actress Cate Blanchett is to chair the jury that will pick the award winners at this year's… https://t.co/4wDk8I7ldL,0.765,0.28,0.0,0.72,35
66,BBC,Thu Jan 04 10:14:10 +0000 2018,"RT @CBeebiesHQ: We've peaked and it's only 3rd January! ?

@BBCNewsnight finished with @HEYDUGGEE's Stick Song last night.

RT if you've be…",0.0,0.0,0.0,1.0,34
67,BBC,Thu Jan 04 09:46:03 +0000 2018,"Over eight million people in the UK have an anxiety disorder. If you're struggling, here is some practical advice o… https://t.co/vCrlCmnNQI",-0.7351,0.0,0.286,0.714,33
68,BBC,Thu Jan 04 09:16:07 +0000 2018,2017 in pictures: these photographs reveal what the past year looked like for the UK. ? https://t.co/why5ck9xKk https://t.co/Y31Sy7A5kC,0.3612,0.135,0.0,0.865,32
69,BBC,Thu Jan 04 08:52:02 +0000 2018,The last two dancing bears in Nepal have been freed. But what does the future hold for Rangeela and Sridevi? https://t.co/d6H6QnXVlt,0.4019,0.119,0.0,0.881,31
70,BBC,Thu Jan 04 08:41:21 +0000 2018,RT @BBCRadio2: Those @takethat boys certainly did us proud when they performed live in London over the summer! Re-live their show and perfo…,0.6996,0.216,0.0,0.784,30
71,BBC,Thu Jan 04 08:40:48 +0000 2018,"RT @bbcthesocial: Let's keep the New Year's resolutions realistic, people!

 @MrRossHogg @DuncanCowles https://t.co/iBQd6Yff3y",0.0,0.0,0.0,1.0,29
72,BBC,Thu Jan 04 08:34:33 +0000 2018,Some precipitating factors for the collapse of Western civilisation are already in place. How the West reacts will… https://t.co/dedxlfGts8,-0.4939,0.0,0.151,0.849,28
73,BBC,Thu Jan 04 08:00:03 +0000 2018,"??? It might already feel like it in some parts of the country, but could an ice age happen again? https://t.co/vPsvkRo39S",0.1901,0.08,0.0,0.92,27
74,BBC,Wed Jan 03 19:27:57 +0000 2018,"RT @BBCWales: ?? Over-indulged this Christmas? ? ?

? ? ? ? ? 
Sneak snippets of exercise into your daily life! https://t.co/Dvtoe7fsZv",0.0,0.0,0.0,1.0,26
75,BBC,Wed Jan 03 19:27:10 +0000 2018,"RT @BBCRadio3: ""This is just the most romantic, plunging, yearning, extraordinary thing...""
?  Listen now to Stephen Fry's New Year mixtape…",0.5799,0.209,0.0,0.791,25
76,BBC,Wed Jan 03 19:26:35 +0000 2018,"RT @bbcgetinspired: @BBCR1 DJ @AdeleRoberts has a few January health hacks to get you back on track in 2018.

Borrow a ?! #GetInspired http…",0.0,0.0,0.0,1.0,24
77,BBC,Wed Jan 03 19:24:32 +0000 2018,RT @BBCWorld: Drunk man's New Year's Eve taxi ride through three countries https://t.co/ZYvmYSQdoo,-0.34,0.0,0.167,0.833,23
78,BBC,Wed Jan 03 19:22:58 +0000 2018,"RT @bbcasiannetwork: Halal dating, sex, racism and beauty standards - some of the issues up for discussion in a new TV show for Muslim wome…",-0.0772,0.131,0.142,0.727,22
79,BBC,Wed Jan 03 19:20:58 +0000 2018,RT @bbcrb: We've taken a battering in the West! ?? https://t.co/3BtGxV2jx9,0.0,0.0,0.0,1.0,21
80,BBC,Wed Jan 03 19:20:46 +0000 2018,RT @bbcthree: Feeling opinionated? We need you. https://t.co/1BwHnC97sN,0.128,0.176,0.0,0.824,20
81,BBC,Wed Jan 03 19:20:31 +0000 2018,"RT @BBCOne: If you only knew what you were looking at, you'd see. Organised crime is everywhere. 

Watch the first two episodes of new glob…",-0.5423,0.0,0.127,0.873,19
82,BBC,Wed Jan 03 19:20:24 +0000 2018,RT @bbccomedy: Best. Disguise. EVER! ? @Scotsquad @BBCScotland https://t.co/k6TsG9ug0Q,0.5411,0.36,0.16,0.48,18
83,BBC,Wed Jan 03 19:00:03 +0000 2018,This very special 'paper' made from animal remains could be used in fertility treatments and wound healing. https://t.co/EfULoLaqOo,0.4576,0.15,0.0,0.85,17
84,BBC,Wed Jan 03 18:24:03 +0000 2018,"Miriam Margolyes embarks on an epic road trip through middle America. ?? https://t.co/XPQAHMXv07

Miriam's Big Amer… https://t.co/k2janDRDGC",0.0,0.0,0.0,1.0,16
85,BBC,Wed Jan 03 17:57:04 +0000 2018,"Tonight, @ChefTomKerridge recruits and mentors a group of struggling dieters. Tom Kerridge's Lose Weight For Good.… https://t.co/EpE9YG9o3L",-0.6705,0.0,0.282,0.718,15
86,BBC,Wed Jan 03 17:30:09 +0000 2018,"Mr Fish Finger deserves to be remembered!

Here are 9 things that happened in 2017 that you’ve probably forgotten a… https://t.co/kXhHeL2859",-0.2942,0.0,0.103,0.897,14
87,BBC,Wed Jan 03 17:02:01 +0000 2018,"New year, new start. ? 

@BBCR1 DJ @AdeleRoberts is giving out easy health hacks every day in January so you can st… https://t.co/8fPBaJm8cE",0.6486,0.209,0.0,0.791,13
88,BBC,Wed Jan 03 15:46:04 +0000 2018,"JMW Turner's delicate watercolour paintings can only be shown in January, when the sun is at its weakest.… https://t.co/BY17PV59g5",0.0516,0.062,0.0,0.938,12
89,BBC,Wed Jan 03 14:57:03 +0000 2018,The UK's first polar bear cub in 25 years has been born at a Scottish wildlife park. ? https://t.co/TJG4GnKAFm https://t.co/d3pznlIoL6,0.0,0.0,0.0,1.0,11
